year,state,tavg_may,prcp_may,tavg_jun,prcp_jun,tavg_jul,prcp_jul,tavg_aug,prcp_aug,tavg_sep,prcp_sep,tavg_oct,prcp_oct
2005,COLORADO,,1.4093,,2.7832,,0.6866,,2.3037,,0.5336,,2.3862
2005,IOWA,57.970000000000006,3.8201666666666667,72.91428571428571,5.026206896551724,74.95641025641027,3.1688524590163936,72.03999999999999,3.5746666666666664,67.7560975609756,3.235084745762712,52.71707317073171,0.9015254237288135
2005,MISSOURI,63.171052631578945,1.9872580645161289,75.18947368421053,3.8112903225806454,78.3948717948718,3.0281967213114753,78.26315789473684,5.532741935483871,72.2897435897436,3.9906557377049183,57.12820512820513,1.5427868852459017
2005,NEBRASKA,,3.2255000000000003,,4.9267,,1.6933,,3.161,,0.4987,,1.8466999999999998
2005,WISCONSIN,53.5175,2.6563333333333334,70.14761904761905,3.7987931034482756,71.24418604651163,3.360701754385965,69.08292682926829,2.9103389830508477,64.03720930232558,3.975438596491228,50.36190476190476,2.723793103448276
2006,COLORADO,,0.7744,,0.5509000000000001,,3.056,,2.0017,,0.9772,,2.5894
2006,IOWA,60.50232558139535,2.77280701754386,70.1075,2.5796666666666668,76.13414634146342,3.5720338983050848,72.6452380952381,5.619655172413793,60.57142857142857,3.8491379310344827,48.28292682926829,1.905593220338983
2006,MISSOURI,,3.3377999999999997,,3.1595,,3.2748000000000004,,4.5986,,2.2033,,3.4151
2006,NEBRASKA,,1.0139,,2.9939,,2.2696,,3.593,,3.5266,,0.9973000000000001
2006,WISCONSIN,56.83720930232558,4.2596491228070175,65.46046511627907,2.502280701754386,73.1,3.6229310344827583,68.46744186046512,4.2859649122807015,56.93255813953488,3.341754385964912,43.62619047619047,2.4225862068965514
2007,COLORADO,,2.3202000000000003,,0.6262,,1.4546000000000001,,2.1243,,1.2846000000000002,,1.1593
2007,IOWA,64.88333333333333,5.19551724137931,70.52439024390245,4.0379661016949155,73.6595238095238,3.7301724137931034,74.91034482758621,8.874507042253521,66.06,2.695578947368421,,5.4513
2007,MISSOURI,,5.3362,,5.7505,,2.2749,,3.2209,,3.2760000000000002,,3.8803
2007,NEBRASKA,,4.1509,,3.0902,,2.4442000000000004,,3.2769,,1.7741,,3.1664999999999996
2007,WISCONSIN,59.921875,2.4683823529411764,67.840625,3.267058823529412,70.03,2.891142857142857,69.9304347826087,8.884805194805194,62.7,2.7658227848101267,53.87619047619048,3.9653164556962026
2008,COLORADO,,2.1989,,1.0708,,0.6262,,3.3903,,1.556,,0.8715
2008,IOWA,58.800000000000004,5.8391752577319584,72.6,9.327575757575756,72.33333333333333,6.621030927835052,70.6,2.0275,66.5,4.880515463917526,53.333333333333336,3.2667010309278353
2008,MISSOURI,,5.6436,,7.3854999999999995,,6.141699999999999,,2.5146,,9.0721,,2.4855
2008,NEBRASKA,,5.2566999999999995,,4.1987,,3.0336000000000003,,2.0676,,2.2426,,4.1185
2008,WISCONSIN,53.08695652173913,2.795844155844156,65.77272727272727,8.128974358974359,70.10952380952381,4.2384810126582275,67.55499999999999,1.6492499999999999,61.75555555555555,2.8829268292682926,47.68181818181818,2.1635897435897435
2009,COLORADO,,2.0141,,2.8255,,2.4628,,0.816,,0.9612,,2.454
2009,IOWA,60.2375,3.7714130434782613,69.94,5.547578947368421,68.47999999999999,4.783263157894737,69.06666666666666,6.766907216494845,64.14285714285714,1.558709677419355,45.5,6.530526315789474
2009,MISSOURI,,5.675599999999999,,6.2798,,4.5298,,4.5863,,3.9641,,9.9212
2009,NEBRASKA,,2.2203999999999997,,5.6749,,3.1774,,3.5044999999999997,,1.6252000000000002,,3.3789999999999996
2009,WISCONSIN,56.625,3.1942857142857144,65.15625,4.059404761904762,64.75625,2.0217857142857145,65.93846153846154,4.745862068965517,62.25333333333333,1.678470588235294,42.699999999999996,5.168953488372093
2010,COLORADO,,1.8851,,2.2781000000000002,,2.0704,,1.6118000000000001,,0.2705,,0.7879999999999999
2010,IOWA,60.4125,4.309130434782609,71.67999999999999,10.845052631578946,74.9125,7.453804347826087,75.0,6.0203125,63.75,5.649130434782609,55.01666666666667,0.8847872340425532
2010,MISSOURI,,6.5921,,5.1773,,6.8276,,2.7932,,8.694700000000001,,0.7131000000000001
2010,NEBRASKA,,3.0567,,6.7405,,3.8592,,2.9025,,1.7590999999999999,,0.6993
2010,WISCONSIN,58.19166666666666,3.491477272727273,66.13333333333333,7.372021276595745,72.98571428571428,8.213010752688172,72.5,3.666021505376344,58.05714285714286,5.074623655913978,50.325,2.215
2011,COLORADO,,3.6147000000000005,,1.1147,,3.2429,,0.7006,,1.4313,,1.5433000000000001
2011,IOWA,59.51818181818182,5.049887640449438,70.72,6.6330526315789475,79.22727272727273,3.2803370786516854,73.34166666666667,3.0912499999999996,61.387499999999996,1.6665217391304348,54.32222222222222,0.8084615384615383
2011,MISSOURI,,6.4254,,3.9885,,2.5432,,4.0427,,2.9046,,1.1374
2011,NEBRASKA,,5.2562,,4.0453,,3.9928,,3.8457,,0.8808,,1.6125
2011,WISCONSIN,56.699999999999996,3.032795698924731,66.7,4.225760869565217,75.625,4.407826086956521,70.5,2.723586956521739,59.400000000000006,3.5482417582417582,51.839999999999996,1.4943333333333335
2012,COLORADO,,1.4581,,0.5899,,2.7032,,0.4387,,1.8481999999999998,,1.0043
2012,IOWA,65.66666666666667,3.324395604395604,71.85,2.894891304347826,80.12222222222222,1.0793406593406594,72.81666666666666,2.962659574468085,64.36666666666667,1.699278350515464,52.05,3.0533333333333332
2012,MISSOURI,,2.0927000000000002,,1.882,,1.4162000000000001,,2.2148,,5.0049,,2.9341000000000004
2012,NEBRASKA,,2.1778999999999997,,1.6537,,1.2691,,0.9436,,0.4545,,0.9669
2012,WISCONSIN,61.92857142857143,4.5761290322580646,69.8875,2.6292391304347826,77.5,3.4131521739130433,69.25714285714285,2.4323655913978497,59.72222222222222,1.6216483516483515,46.74285714285714,4.002903225806452
2013,COLORADO,,2.1137,,0.7211,,1.6886,,1.8578000000000001,,8.2622,,1.0613
2013,IOWA,62.73333333333333,8.910721649484536,70.08333333333333,4.811489361702128,73.875,1.7472916666666667,72.88,1.174736842105263,68.775,2.1311458333333335,52.720000000000006,2.686315789473684
2013,MISSOURI,,7.0376,,4.3601,,2.7803000000000004,,3.6194,,3.0107999999999997,,3.8301
2013,NEBRASKA,,5.0476,,2.2382,,1.9801,,3.1301,,2.5098,,3.245
2013,WISCONSIN,54.1,5.446804123711341,67.2,6.01979797979798,69.525,2.6582291666666666,67.66666666666667,2.4884536082474225,,2.3146,,3.2209
2014,COLORADO,,3.2582,,1.4196,,3.8078,,1.6981,,2.0723,,1.1723000000000001
2014,IOWA,,3.2207999999999997,,9.0122,,3.6645999999999996,,5.9125,,4.6068999999999996,,3.4794
2014,MISSOURI,,3.0195,,6.3448,,2.5907999999999998,,4.0221,,4.4125,,7.5427
2014,NEBRASKA,,3.0342000000000002,,7.0745000000000005,,1.4401,,5.131,,2.7592000000000003,,1.1772
2014,WISCONSIN,,3.9449,,7.3049,,2.7372,,5.0243,,3.4583,,2.9443
2015,COLORADO,,6.1175,,3.1816000000000004,,2.0416,,1.2106000000000001,,0.37910000000000005,,1.9258000000000002
2015,IOWA,,5.2425,,7.2013,,5.443,,5.126799999999999,,4.3547,,1.9202000000000001
2015,MISSOURI,,7.9123,,7.710800000000001,,8.267000000000001,,3.5232,,2.3018,,1.4614000000000003
2015,NEBRASKA,,5.7212,,4.6305000000000005,,3.0943,,2.9375999999999998,,2.7102,,1.2744
2015,WISCONSIN,,4.3299,,4.187,,4.118399999999999,,4.3962,,4.586600000000001,,2.5542000000000002
2016,COLORADO,,1.8952,,1.5275,,0.9647,,1.3758000000000001,,0.3649,,0.35200000000000004
2016,IOWA,,4.3026,,3.9523,,6.395499999999999,,6.644299999999999,,6.0367999999999995,,1.9354
2016,MISSOURI,,5.4583,,2.2884,,7.538099999999999,,6.1935,,5.374099999999999,,2.1098
2016,NEBRASKA,,5.0256,,1.8231,,3.6882,,3.2196999999999996,,2.2206,,1.1359000000000001
2016,WISCONSIN,,3.0233,,4.8931000000000004,,4.9182999999999995,,5.3165,,5.4222,,3.3733999999999997
2017,COLORADO,,4.6821,,0.6843,,1.7855,,1.6906,,1.7075,,1.4254
2017,IOWA,,4.91,,3.617,,3.364,,3.1688,,2.2034000000000002,,5.3606
2017,MISSOURI,,5.889500000000001,,4.4231,,3.9625,,5.6941999999999995,,1.2119,,4.3992
2017,NEBRASKA,,5.3786000000000005,,1.5415999999999999,,2.2772,,4.5281,,2.3775999999999997,,2.8391
2017,WISCONSIN,,4.8195,,5.7575,,4.9626,,4.2296,,1.6469,,4.1766000000000005
2018,COLORADO,,2.7491000000000003,,1.3387,,2.6155,,1.0254,,0.7847,,1.7577
2018,IOWA,,4.8008,,7.216,,3.7979000000000003,,6.471,,8.0883,,5.0838
2018,MISSOURI,,4.1422,,3.7069,,2.1067,,5.3118,,2.8177,,5.519299999999999
2018,NEBRASKA,,4.6742,,5.2038,,4.3143,,2.6209,,2.5707,,2.5856
2018,WISCONSIN,,5.8256000000000006,,5.9437,,3.1674,,7.3148,,5.5723,,5.4002
2019,COLORADO,,2.7858,,2.1391999999999998,,2.1527000000000003,,0.9873000000000001,,0.7637,,1.3107
2019,IOWA,,9.1798,,4.2961,,3.1957,,4.1903,,6.7222,,4.356
2019,MISSOURI,,10.2257,,5.9429,,4.5981,,6.680499999999999,,3.4767,,5.0607
2019,NEBRASKA,,6.87,,4.0145,,4.6095999999999995,,4.861,,2.095,,1.6462999999999999
2019,WISCONSIN,,5.7203,,3.6542000000000003,,5.125900000000001,,3.6077999999999997,,6.9666999999999994,,5.320499999999999
2020,COLORADO,,1.4464,,1.2341,,1.2603,,0.5573,,0.9836,,0.5096
2020,IOWA,,4.6309,,5.3881,,3.1957,,1.0846,,5.2049,,2.235
2020,MISSOURI,,5.5977,,3.9703,,6.3077,,3.1856,,3.1929000000000003,,3.2742
2020,NEBRASKA,,4.3131,,1.9379,,3.7456,,0.966,,1.0208,,0.555
2020,WISCONSIN,,4.0607,,4.8655,,5.6438999999999995,,3.5576,,3.1444,,3.2302999999999997
2021,COLORADO,,3.6117000000000004,,1.8644,,1.9118000000000002,,1.099,,0.5954999999999999,,0.36219999999999997
2021,IOWA,,4.1084,,4.0134,,4.4712,,4.6051,,1.7756999999999998,,5.2719000000000005
2021,MISSOURI,,5.2918,,7.4735000000000005,,4.3019,,2.7333999999999996,,2.6324,,6.1061000000000005
2021,NEBRASKA,,3.7311,,1.726,,2.296,,2.7607,,1.6088,,1.9306
2021,WISCONSIN,,3.0678,,3.5717000000000003,,3.2752999999999997,,4.9917,,2.6763,,2.3428
2022,COLORADO,,1.9203999999999999,,1.4582,,2.3643,,2.4475,,1.0387,,0.9416
2022,IOWA,,3.5633,,4.2943,,3.7264999999999997,,3.8354000000000004,,2.101,,1.1388
2022,MISSOURI,,6.5379,,3.1304000000000003,,3.9478000000000004,,3.5592,,1.5716999999999999,,2.9358
2022,NEBRASKA,,3.3577,,1.9885,,3.3706,,1.004,,1.4031,,0.4793
2022,WISCONSIN,,3.8493,,3.0199000000000003,,3.7206,,4.754700000000001,,3.7361,,1.1589
2023,COLORADO,,5.1347000000000005,,4.3631,,1.9066,,1.7515,,1.3271000000000002,,0.6464
2023,IOWA,,2.4548,,2.4389,,3.0806,,2.8405,,2.1431999999999998,,3.1532999999999998
2023,MISSOURI,,2.6768,,1.9586000000000001,,4.4456999999999995,,5.9026,,2.0159000000000002,,3.1801
2023,NEBRASKA,,4.6530000000000005,,3.455,,3.2793,,2.8987,,1.9896,,1.8549
2023,WISCONSIN,,1.3844,,1.7667,,3.9914,,2.7317,,3.4720999999999997,,3.2725999999999997
2024,COLORADO,,0.9804,,1.1845,,1.3430000000000002,,1.9025,,1.3683,,0.6267
2024,IOWA,,7.2714,,4.965199999999999,,5.3260000000000005,,3.1352999999999995,,0.8706,,1.986
2024,MISSOURI,,5.449,,5.3861,,6.4128,,3.0491,,3.1975,,1.5191999999999999
2024,NEBRASKA,,4.4085,,3.5904000000000003,,3.2812,,2.6448,,0.3306,,0.74
2024,WISCONSIN,,5.2887,,7.7389,,4.6955,,3.9052,,2.1659,,2.2155
2025,COLORADO,,3.1595999999999997,,1.7374,,1.3313,,1.3731,,2.0728,,1.7844
2025,IOWA,,2.7058,,5.6234,,9.0224,,3.3994,,1.6459000000000001,,1.8715000000000002
2025,MISSOURI,,4.214700000000001,,6.604399999999999,,5.211799999999999,,1.0802,,2.8508999999999998,,2.9919
2025,NEBRASKA,,3.1819,,5.7516,,4.4009,,3.4345999999999997,,2.8564,,1.3193000000000001
2025,WISCONSIN,,2.8923,,5.0382,,5.0596,,4.1406,,2.1338999999999997,,1.236
